player_id,long_name,short_name,overall,club_name,player_positions,club_position,nationality_name
269278,Diego Alexander Gómez Amarilla,D. Gómez,73,Brighton & Hove Albion,"CM, CDM",SUB,Paraguay
234824,Yoane Wissa,Y. Wissa,82,Newcastle United,ST,SUB,Congo DR
215700,Luke Terry O'Nien,L. O'Nien,72,Sunderland,CB,SUB,England
138412,James Philip Milner,J. Milner,73,Brighton & Hove Albion,"CM, RB, CDM",SUB,England
270857,Mateus Gonçalo Espanha Fernandes,Mateus Fernandes,76,West Ham United,"CAM, CM",SUB,Portugal
241187,Lutsharel Geertruida,L. Geertruida,78,Sunderland,"CB, RB, LB",SUB,Netherlands
263620,Roméo Lavia,R. Lavia,78,Chelsea,"CDM, CM",SUB,Belgium
74866,André Trindade da Costa Neto,André,78,Wolverhampton Wanderers,"CDM, CM",RCM,Brazil
261299,Alex Jay Scott,A. Scott,74,AFC Bournemouth,"CAM, CDM, CM",RDM,England
241602,Jhon Adolfo Arias Andrade,J. Arias,78,Wolverhampton Wanderers,"RW, CAM, LW, RM",LW,Colombia
252042,João Pedro Junqueira de Jesus,João Pedro,79,Chelsea,"ST, CAM",ST,Brazil
250961,Joshua Orobosa Zirkzee,J. Zirkzee,77,Manchester United,"ST, CAM",SUB,Netherlands
225539,Dominic Ayodele Solanke-Mitchell,D. Solanke,80,Tottenham Hotspur,ST,ST,England
227503,Jacob Bruun Larsen,J. Larsen,74,Burnley,"LM, RM, ST, LW",SUB,Denmark
244380,Vitalii MykolenkoМиколенко Віталій Сергійович,V. Mykolenko,78,Everton,"LB, LM",LB,Ukraine
228092,Sander Gard Bolin Berge,S. Berge,79,Fulham FC,"CDM, CM, CB",RDM,Norway
225147,Connor Richard John Roberts,C. Roberts,75,Burnley,RB,SUB,Wales
270208,Archie Gray,A. Gray,75,Tottenham Hotspur,"CDM, CB, RB, RM",SUB,England
229880,Aaron Wan-Bissaka,A. Wan-Bissaka,80,West Ham United,"RB, RM",RB,Congo DR
232104,Daniel Owen James,D. James,76,Leeds United,"RM, RW",RM,Wales
257289,Hugo Ekitiké,H. Ekitiké,83,Liverpool,"ST, CAM",ST,France
205431,Niclas Füllkrug,N. Füllkrug,79,West Ham United,ST,LS,Germany
269230,Noah Junior Sadiki,N. Sadiki,74,Sunderland,"CM, CDM, CAM",LCM,Congo DR
277432,Patrick Chinazaekpere Dorgu,P. Dorgu,74,Manchester United,"LB, LM",LB,Denmark
256769,Adrien Truffert,A. Truffert,77,AFC Bournemouth,"LB, LM",LB,France
201417,Matthew James Doherty,M. Doherty,74,Wolverhampton Wanderers,"CB, RB, RM",RCB,Republic of Ireland
262937,Jackson Tchatchoua,J. Tchatchoua,74,Wolverhampton Wanderers,"RB, RM",SUB,Cameroon
256402,Carlos Jonás Alcaraz,C. Alcaraz,75,Everton,"CAM, CM, ST",SUB,Argentina
261530,Dário Cassia Luís Essugo,Dário Essugo,75,Chelsea,"CDM, CM, CB",RES,Portugal
202652,Raheem Shaquille Sterling,R. Sterling,78,Chelsea,"LW, LM, RM",RES,England
243057,Neco Shay Williams,N. Williams,78,Nottingham Forest,"LB, RB, LM",LB,Wales
206594,Solomon Benjamin March,S. March,75,Brighton & Hove Albion,"RM, RW",RES,England
76687,Estêvão Willian Almeida,Estêvão,78,Chelsea,"RM, CAM, RW",SUB,Brazil
258483,Daniel Neil,D. Neil,73,Sunderland,"CDM, CM",SUB,England
237161,Sean David Longstaff,S. Longstaff,75,Leeds United,"CM, CDM",SUB,England
223197,Enes Ünal,E. Ünal,77,AFC Bournemouth,ST,RES,Türkiye
241464,Pau Francisco Torres,Pau Torres,80,Aston Villa,CB,SUB,Spain
195202,Thomas Cairney,T. Cairney,74,Fulham FC,"CM, CDM, CAM",SUB,Scotland
240273,Emile Smith Rowe,E. Smith Rowe,77,Fulham FC,"CAM, CM, LM",SUB,England
268438,Alejandro Garnacho Ferreyra,A. Garnacho,77,Chelsea,"CAM, LW, LM, CM",RES,Argentina
261188,Iliman Cheikh Baroy Ndiaye,I. Ndiaye,79,Everton,"LM, RM, LW",RM,Senegal
256197,Piero Martín Hincapié Reyna,P. Hincapié,83,Arsenal,"CB, LB, LM",SUB,Ecuador
260145,Omari Elijah Giraud-Hutchinson,O. Hutchinson,75,Nottingham Forest,"CAM, RM, CM",SUB,England
207948,Bertrand Isidore Traoré,B. Traoré,75,Sunderland,"RW, RM",SUB,Burkina Faso
224081,Kalvin Mark Phillips,K. Phillips,74,Manchester City,"CDM, CM",RES,England
226166,Nordi Mukiele Mulere,N. Mukiele,79,Sunderland,"RB, CB, RM",RCB,France
256612,Francisco Evanilson de Lima Barbosa,Evanilson,80,AFC Bournemouth,ST,ST,Brazil
246174,Harvey Scott Elliott,H. Elliott,78,Aston Villa,"CAM, CM, RW",SUB,England
73895,Justin Devenny,J. Devenny,71,Crystal Palace,"CAM, LW, LM, CM",LW,Northern Ireland
233049,Jadon Malik Sancho,J. Sancho,80,Aston Villa,"LM, RM, LW",SUB,England
275468,Andrés García Robledo,Andrés García,73,Aston Villa,"RB, RM",RES,Spain
242271,Andrew Irving,A. Irving,70,West Ham United,"CM, CAM",SUB,Scotland
235243,Matthijs de Ligt,M. de Ligt,82,Manchester United,CB,CB,Netherlands
260926,Kevin Schade,K. Schade,78,Brentford,"LM, LW",LM,Germany
235353,Ismaïla Sarr,I. Sarr,79,Crystal Palace,"CAM, RW, CM",RW,Senegal
192123,Christopher Grant Wood,C. Wood,82,Nottingham Forest,ST,ST,New Zealand
259714,Merlin Röhl,M. Röhl,74,Everton,"CAM, CM, CDM, ST",SUB,Germany
265552,Dango Aboubacar Faissal Ouattara,D. Ouattara,77,Brentford,"LM, RM, ST, LW",SUB,Burkina Faso
271574,Rico Henry Mark Lewis,R. Lewis,77,Manchester City,"RB, LB, CM",SUB,England
240359,Omar Federico Alderete Fernández,O. Alderete,78,Sunderland,CB,LCB,Paraguay
261224,Hugo Bueno López,Hugo Bueno,74,Wolverhampton Wanderers,"LB, LM",SUB,Spain
243388,Borna Sosa,B. Sosa,73,Crystal Palace,"LB, LM",SUB,Croatia
262859,Levi Lemar Samuel Colwill,L. Colwill,80,Chelsea,CB,SUB,England
238041,Tyrell Johannes Chicco Malacia,T. Malacia,75,Manchester United,"LB, LM",RES,Netherlands
264453,Micky van de Ven,M. van de Ven,82,Tottenham Hotspur,"CB, LB, LM",LCB,Netherlands
247361,Brenden Russell Aaronson,B. Aaronson,74,Leeds United,"CAM, CM",SUB,United States
246763,Ki-Jana Delano Hoever,K. Hoever,74,Wolverhampton Wanderers,"RB, RM",RB,Netherlands
262642,Mohamed Zeki Amdouni,Z. Amdouni,75,Burnley,"ST, CAM",RES,Switzerland
222501,Timothy Castagne,T. Castagne,76,Fulham FC,"RB, RM",SUB,Belgium
258908,Jan Paul van Hecke,J. van Hecke,80,Brighton & Hove Albion,CB,RCB,Netherlands
256261,Malick Laye Thiaw,M. Thiaw,78,Newcastle United,CB,SUB,Germany
246350,Enzo Jérémy Le Fée,E. Le Fée,76,Sunderland,"CM, LM, CAM, LW",SUB,France
258444,Evann Guessand,E. Guessand,79,Aston Villa,"RM, RW, ST",SUB,Côte d'Ivoire
251421,Brennan Price Johnson,B. Johnson,79,Tottenham Hotspur,"RW, RM, LW",LW,Wales
226380,Hee-chan Hwang황희찬 黄喜灿,Hwang Hee Chan,75,Wolverhampton Wanderers,"ST, LW, CAM",SUB,Korea Republic
196978,Callum Eddie Graham Wilson,C. Wilson,78,West Ham United,ST,SUB,England
194794,Andriy YarmolenkoЯрмоленко Андрій Миколайович,A. Yarmolenko,73,Dynamo Kyiv,"RM, ST, LW, RW",RM,Ukraine
242530,Noah Arinzechukwu Okafor,N. Okafor,76,Leeds United,"ST, LM, LW, CAM",SUB,Switzerland
263640,Antoni-Djibu Milambo,A. Milambo,73,Brentford,"CM, CAM",SUB,Netherlands
235642,Ryan James Yates,R. Yates,77,Nottingham Forest,"CDM, CM",SUB,England
243702,Diop Tehuti Djed-Hotep Spence,D. Spence,78,Tottenham Hotspur,"RB, LB, RM",LB,England
270608,Yehor YarmoliukЯрмолюк Єгор Романович,Y. Yarmoliuk,71,Brentford,"CM, CDM",LDM,Ukraine
277068,Lucas Pires Silva,Lucas Pires,74,Burnley,"LB, LM",SUB,Brazil
246420,Jérémy Doku,J. Doku,80,Manchester City,"LW, RW, LM",SUB,Belgium
243715,William Alain André Gabriel Saliba,W. Saliba,87,Arsenal,CB,RCB,France
277909,Eli Junior Eric Anat Kroupi,E. Kroupi,74,AFC Bournemouth,ST,SUB,France
242619,Cheick Oumar Doucouré,C. Doucouré,77,Crystal Palace,"CDM, CM",RES,Mali
230084,Lukas Okechukwu Nmecha,L. Nmecha,76,Leeds United,ST,SUB,Germany
230918,Trevoh Thomas Chalobah,T. Chalobah,79,Chelsea,"CB, RB, RM",RCB,England
268421,Mathys Henri Tel,M. Tel,77,Tottenham Hotspur,"ST, LW, CAM",SUB,France
190885,Adam James Smith,A. Smith,73,AFC Bournemouth,"RB, RM",RB,England
225659,Guido Rodríguez,G. Rodríguez,77,West Ham United,"CDM, CM",SUB,Argentina
244591,Jayden Ian Bogle,J. Bogle,75,Leeds United,"RB, RM",RB,England
